"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/jeffchebul/Documents/CoLab/spoontracker/src/App.css", "CSS", 0, 4, 0, 0, 4
"/Users/jeffchebul/Documents/CoLab/spoontracker/src/App.tsx", "TypeScript JSX", 0, 0, -21, 0, -21
"/Users/jeffchebul/Documents/CoLab/spoontracker/src/Views/Home.tsx", "TypeScript JSX", 287, 0, 1, 5, 293
"Total", "-", 287, 4, -20, 5, 276
